Id_Ejercicio,Series,Repetición,Fase,Tiempo (s),Posición (cm),Fuerza (Kg),Velocidad (cm/s),Trigger,Nota
339,1,5,c,5212,2.75,8.68,67.04,0,0
339,1,5,c,5222,3.48,8.79,70.61,0,0
339,1,5,c,5232,4.21,8.52,74.07,0,0
339,1,5,c,5242,4.76,8.2,74.86,0,0
339,1,5,c,5252,5.5,7.93,74.84,0,0
339,1,5,c,5262,6.23,7.71,74.79,0,0
339,1,5,c,5272,7.15,7.71,75.57,0,0
339,1,5,c,5282,7.88,7.61,77.43,0,0
339,1,5,c,5292,8.61,7.71,78.9,0,0
339,1,5,c,5302,9.35,7.82,80.14,0,0
339,1,5,c,5312,10.08,7.88,80.94,0,0
339,1,5,c,5322,10.81,7.77,82.85,0,0
339,1,5,c,5332,11.55,7.61,82.01,0,0
339,1,5,c,5342,12.28,7.45,82.18,0,0
339,1,5,c,5352,13.01,7.23,82.04,0,0
339,1,5,c,5362,13.74,7.07,80.45,0,0
339,1,5,c,5372,14.48,6.96,79.51,0,0
339,1,5,c,5382,15.39,6.86,80.22,0,0
339,1,5,c,5392,16.13,6.8,80.06,0,0
339,1,5,c,5402,16.86,6.75,78.85,0,0
339,1,5,c,5412,17.59,6.59,76.88,0,0
339,1,5,c,5422,18.33,6.59,76.87,0,0
339,1,5,c,5432,19.06,6.7,78.41,0,0
339,1,5,c,5442,19.79,6.8,77.42,0,0
339,1,5,c,5452,20.53,6.86,78.49,0,0
339,1,5,c,5462,21.26,6.8,78.22,0,0
339,1,5,c,5472,22.17,6.54,77.87,0,0
339,1,5,c,5482,22.91,6.37,80.22,0,0
339,1,5,c,5492,23.64,6.21,79.99,0,0
339,1,5,c,5502,24.37,6.32,80.17,0,0
339,1,5,c,5512,25.11,6.64,81.97,0,0
339,1,5,c,5522,25.84,6.86,79.97,0,0
339,1,5,c,5532,26.76,6.75,80.86,0,0
339,1,5,c,5542,27.49,6.54,80.4,0,0
339,1,5,c,5552,28.22,6.37,79.74,0,0
339,1,5,c,5562,28.96,6.11,80.92,0,0
339,1,5,c,5572,29.69,5.95,79.66,0,0
339,1,5,c,5582,30.6,6.16,80.24,0,0
339,1,5,c,5592,31.34,6.37,79.28,0,0
339,1,5,c,5602,32.07,6.59,78.44,0,0
339,1,5,c,5612,32.8,6.48,82.16,0,0
339,1,5,c,5622,33.54,6.43,81.47,0,0
339,1,5,c,5632,34.27,6.27,81.12,0,0
339,1,5,c,5642,35,6,82.13,0,0
339,1,5,c,5652,35.74,5.73,80.26,0,0
339,1,5,c,5662,36.47,5.52,79.76,0,0
339,1,5,c,5672,37.39,5.36,80.28,0,0
339,1,5,c,5682,38.12,5.41,79.55,0,0
339,1,5,c,5692,38.67,6,78.04,0,0
339,1,5,c,5702,39.22,7.02,66.71,0,0
339,1,5,c,5712,39.4,7.93,54.33,0,0
339,1,5,c,5722,39.4,8.14,37.68,0,0
339,1,5,c,5732,39.4,8.84,22.3,0,0
339,1,5,c,5742,39.4,8.63,11.73,0,0
339,1,5,e,5752,39.03,9.7,-2.57,0,0
339,1,5,e,5762,38.85,11.95,-10.11,0,0
339,1,5,e,5772,38.48,14.14,-21.14,0,0
339,1,5,e,5782,37.93,15.54,-34.58,0,0
339,1,5,e,5792,37.57,16.07,-42.88,0,0
339,1,5,e,5802,37.02,15.05,-48.14,0,0
339,1,5,e,5812,36.47,13.66,-55.45,0,0
339,1,5,e,5822,35.74,13.18,-58.05,0,0
339,1,5,e,5832,35.19,13.39,-61.29,0,0
339,1,5,e,5842,34.64,14.09,-65.37,0,0
339,1,5,e,5852,33.9,14.95,-68.37,0,0
339,1,5,e,5862,33.17,15.21,-69.98,0,0
339,1,5,e,5872,32.44,14.95,-70.66,0,0
339,1,5,e,5882,31.7,14.09,-72.47,0,0
339,1,5,e,5892,31.15,13.39,-73.67,0,0
339,1,5,e,5902,30.24,13.55,-75.91,0,0
339,1,5,e,5912,29.69,14.14,-75.79,0,0
339,1,5,e,5922,28.96,14.68,-75.6,0,0
339,1,5,e,5932,28.22,14.95,-77.19,0,0
339,1,5,e,5942,27.31,15,-77.19,0,0
339,1,5,e,5952,26.57,14.84,-77.66,0,0
339,1,5,e,5962,26.02,15.21,-79.83,0,0
339,1,5,e,5972,25.11,15.38,-79.55,0,0
339,1,5,e,5982,24.37,15.27,-78.27,0,0
339,1,5,e,5992,23.64,15.43,-79.76,0,0
339,1,5,e,6002,22.91,15.8,-79.82,0,0
339,1,5,e,6012,22.17,16.29,-80.12,0,0
339,1,5,e,6022,21.44,16.71,-81.13,0,0
339,1,5,e,6032,20.71,17.3,-79.12,0,0
339,1,5,e,6042,19.98,17.41,-79.52,0,0
339,1,5,e,6052,19.24,17.36,-80.18,0,0
339,1,5,e,6062,18.51,17.52,-79.99,0,0
339,1,5,e,6072,17.59,17.89,-80.23,0,0
339,1,5,e,6082,16.86,18.21,-80.24,0,0
339,1,5,e,6092,16.13,18.64,-78.96,0,0
339,1,5,e,6102,15.39,18.8,-79.62,0,0
339,1,5,e,6112,14.66,19.07,-78.75,0,0
339,1,5,e,6122,13.93,19.39,-80.82,0,0
339,1,5,e,6132,13.01,20.04,-79.49,0,0
339,1,5,e,6142,12.28,20.68,-79.37,0,0
339,1,5,e,6152,11.55,21.48,-80.12,0,0
339,1,5,e,6162,10.81,21.86,-79.46,0,0
339,1,5,e,6172,10.08,22.39,-77.62,0,0
339,1,5,e,6182,9.35,23.25,-79.04,0,0
339,1,5,e,6192,8.61,24.16,-77.97,0,0
339,1,5,e,6202,7.88,24.43,-78.36,0,0
339,1,5,e,6212,7.15,24.37,-80.43,0,0
339,1,5,e,6222,6.41,23.63,-79.87,0,0
339,1,5,e,6232,5.68,23.89,-79.26,0,0
339,1,5,e,6242,4.95,24.54,-81.75,0,0
339,1,5,e,6252,4.21,25.34,-80.39,0,0
339,1,5,e,6262,3.48,25.93,-81.09,0,0
339,1,5,e,6272,2.75,26.41,-80.38,0,0
339,1,5,e,6282,2.02,26.73,-79.65,0,0
339,1,5,e,6292,1.28,27.21,-78.22,0,0
339,1,5,e,6302,0.55,27.96,-78.5,0,0
339,1,5,e,6312,-0.18,28.88,-77.68,0,0
339,1,5,e,6322,-0.92,28.98,-77.45,0,0
339,1,5,e,6332,-1.28,23.84,-67.38,0,0
