Repetición,Serie,Repetición,Fase,Tiempo (s),Posición (cm),Fuerza (Kg),Velocidad (cm/s),Trigger,Nota
30,1,5,c,6306,41.6,7.02,78.51,0,0
30,1,5,c,6316,42.52,7.02,80.91,0,0
30,1,5,c,6326,43.25,7.07,80.57,0,0
30,1,5,c,6336,43.98,6.96,79.15,0,0
30,1,5,c,6346,44.72,7.39,78.73,0,0
30,1,5,c,6356,45.08,8.63,69.9,0,0
30,1,5,c,6366,45.45,9.91,56.14,0,0
30,1,5,c,6376,45.45,11.41,41.06,0,0
30,1,5,c,6386,45.45,12.32,24.81,0,0
30,1,5,e,6396,45.27,12.21,0,0,0
30,1,5,e,6406,45.08,12.21,-2.24,0,0
30,1,5,e,6416,44.72,13.29,-9.19,0,0
30,1,5,e,6426,44.35,14.41,-20.19,0,0
30,1,5,e,6436,43.98,15.75,-33.24,0,0
30,1,5,e,6446,43.62,17.14,-42.73,0,0
30,1,5,e,6456,43.07,18.05,-48.65,0,0
30,1,5,e,6466,42.52,17.89,-54.41,0,0
30,1,5,e,6476,41.97,16.71,-57.52,0,0
30,1,5,e,6486,41.42,14.84,-61.09,0,0
30,1,5,e,6496,40.68,13.34,-65.37,0,0
30,1,5,e,6506,39.95,12.86,-67.55,0,0
30,1,5,e,6516,39.22,12.91,-68.02,0,0
30,1,5,e,6526,38.48,13.18,-70.76,0,0
30,1,5,e,6536,37.93,13.39,-72.14,0,0
30,1,5,e,6546,37.2,13.02,-73.01,0,0
30,1,5,e,6556,36.47,12.11,-73.94,0,0
30,1,5,e,6566,35.74,10.98,-74.38,0,0
30,1,5,e,6576,35,10.29,-75.93,0,0
30,1,5,e,6586,34.27,10.07,-75.26,0,0
30,1,5,e,6596,33.35,10.29,-77.66,0,0
30,1,5,e,6606,32.62,10.98,-78.72,0,0
30,1,5,e,6616,31.89,11.57,-78.61,0,0
30,1,5,e,6626,31.15,11.73,-80.95,0,0
30,1,5,e,6636,30.42,11.84,-79.73,0,0
30,1,5,e,6646,29.69,11.79,-79.76,0,0
30,1,5,e,6656,28.96,11.95,-81.68,0,0
30,1,5,e,6666,28.22,12.37,-80.44,0,0
30,1,5,e,6676,27.31,12.48,-81.54,0,0
30,1,5,e,6686,26.57,12.11,-80.9,0,0
30,1,5,e,6696,25.84,11.95,-79.79,0,0
30,1,5,e,6706,25.11,12.21,-79.55,0,0
30,1,5,e,6716,24.37,12.43,-78.33,0,0
30,1,5,e,6726,23.46,13.29,-79.97,0,0
30,1,5,e,6736,22.72,14.2,-79.47,0,0
30,1,5,e,6746,21.99,14.3,-78.9,0,0
30,1,5,e,6756,21.26,13.88,-79.27,0,0
30,1,5,e,6766,20.53,13.61,-78.66,0,0
30,1,5,e,6776,19.79,13.45,-79.17,0,0
30,1,5,e,6786,19.06,13.29,-80.16,0,0
30,1,5,e,6796,18.33,13.23,-80.4,0,0
30,1,5,e,6806,17.59,12.96,-79.9,0,0
30,1,5,e,6816,16.86,12.48,-79.81,0,0
30,1,5,e,6826,15.94,12.54,-80.04,0,0
30,1,5,e,6836,15.21,13.13,-79.77,0,0
30,1,5,e,6846,14.48,13.39,-80.21,0,0
30,1,5,e,6856,13.74,13.55,-79.13,0,0
30,1,5,e,6866,13.01,13.02,-79.32,0,0
30,1,5,e,6876,12.1,12.05,-79.35,0,0
30,1,5,e,6886,11.36,10.93,-81.62,0,0
30,1,5,e,6896,10.63,9.8,-83.12,0,0
30,1,5,e,6906,9.9,9.43,-81.93,0,0
30,1,5,e,6916,9.16,9.7,-83.7,0,0
30,1,5,e,6926,8.43,10.66,-81.09,0,0
30,1,5,e,6936,7.51,11.3,-82.57,0,0
30,1,5,e,6946,6.78,11.79,-81.64,0,0
30,1,5,e,6956,6.05,11.79,-80.6,0,0
30,1,5,e,6966,5.31,11.36,-79,0,0
30,1,5,e,6976,4.58,10.93,-78.12,0,0
30,1,5,e,6986,3.85,11.09,-77.96,0,0
30,1,5,e,6996,2.93,12.11,-78.06,0,0
30,1,5,e,7006,2.38,13.88,-78.12,0,0
30,1,5,e,7016,1.47,16.18,-79.09,0,0
30,1,5,e,7026,0.73,18.32,-78.97,0,0
30,1,5,e,7036,0,19.66,-76.54,0,0
30,1,5,e,7046,-0.73,20.63,-76.94,0,0
30,1,5,e,7056,-1.28,19.39,-73.02,0,0
30,1,5,e,7066,-1.47,14.46,-61.77,0,0
